Path,True_Label,Predicted_Class,Probability_Class_0 (Normal),Probability_Class_1 (Polyp)
1/frame_065975.PNG,0,0,0.9999964,3.566404e-06
1/frame_065980.PNG,0,0,0.99999577,4.2037673e-06
1/frame_065985.PNG,0,0,0.9999947,5.288185e-06
1/frame_065990.PNG,0,0,0.9999958,4.162292e-06
1/frame_065995.PNG,0,0,0.99999523,4.7924973e-06
1/frame_066000.PNG,0,0,0.9999955,4.4433496e-06
1/frame_066005.PNG,0,0,0.999996,4.0157115e-06
1/frame_066010.PNG,0,0,0.9999964,3.5612686e-06
1/frame_066015.PNG,0,0,0.99999547,4.5461443e-06
1/frame_066020.PNG,0,0,0.99999535,4.639665e-06
1/frame_066025.PNG,0,0,0.99999064,9.373408e-06
1/frame_066030.PNG,0,0,0.9999873,1.2707313e-05
1/frame_066035.PNG,0,0,0.99998903,1.0950429e-05
1/frame_066040.PNG,0,0,0.99998766,1.2341717e-05
1/frame_066045.PNG,0,0,0.99998355,1.6449756e-05
1/frame_066050.PNG,0,0,0.99998116,1.8864315e-05
1/frame_066055.PNG,0,0,0.9999713,2.873434e-05
1/frame_066060.PNG,0,0,0.9999793,2.0679216e-05
1/frame_066065.PNG,0,0,0.9999778,2.218265e-05
1/frame_066070.PNG,0,0,0.999982,1.8016168e-05
1/frame_066075.PNG,0,0,0.9999774,2.2576813e-05
1/frame_066080.PNG,0,0,0.9999844,1.5624672e-05
1/frame_066085.PNG,0,0,0.9999919,8.093922e-06
1/frame_066090.PNG,0,0,0.9999896,1.0368245e-05
1/frame_066095.PNG,0,0,0.9999904,9.623018e-06
1/frame_066100.PNG,0,0,0.9999909,9.130457e-06
1/frame_066105.PNG,0,0,0.9999924,7.63857e-06
1/frame_066110.PNG,0,0,0.9999938,6.194732e-06
1/frame_066115.PNG,0,0,0.999994,6.0226016e-06
1/frame_066120.PNG,0,0,0.9999931,6.8994905e-06
1/frame_066125.PNG,0,0,0.99999326,6.7450724e-06
1/frame_066130.PNG,0,0,0.9999916,8.422591e-06
1/frame_066135.PNG,0,0,0.99999183,8.155979e-06
1/frame_066140.PNG,0,0,0.9999866,1.3409715e-05
1/frame_066145.PNG,0,0,0.99998707,1.29294485e-05
1/frame_066150.PNG,0,0,0.9999878,1.2190839e-05
1/frame_066155.PNG,0,0,0.9999902,9.763628e-06
1/frame_066160.PNG,0,0,0.99998915,1.0824185e-05
1/frame_066165.PNG,0,0,0.99998695,1.3040651e-05
1/frame_066170.PNG,0,0,0.9999843,1.567144e-05
1/frame_066175.PNG,0,0,0.9998423,0.00015769362
1/frame_066180.PNG,0,0,0.99892074,0.001079266
1/frame_066185.PNG,0,0,0.99949104,0.0005089782
1/frame_066190.PNG,0,0,0.99883777,0.0011622543
1/frame_066195.PNG,0,0,0.99809325,0.0019067742
1/frame_066200.PNG,0,0,0.99949306,0.000506948
1/frame_066205.PNG,0,0,0.999161,0.00083901803
1/frame_066210.PNG,0,0,0.99931836,0.0006816676
1/frame_066215.PNG,0,0,0.99879044,0.0012095838
1/frame_066220.PNG,0,0,0.99950993,0.00049008505
1/frame_066225.PNG,0,0,0.99981153,0.00018846436
1/frame_066230.PNG,0,0,0.99989736,0.00010266309
1/frame_066235.PNG,0,0,0.99997663,2.3359466e-05
1/frame_066240.PNG,0,0,0.99997824,2.1751244e-05
1/frame_066245.PNG,0,0,0.999981,1.8992712e-05
1/frame_066250.PNG,0,0,0.9999641,3.5858426e-05
1/frame_066255.PNG,0,0,0.9999621,3.7918493e-05
1/frame_066260.PNG,0,0,0.9999411,5.8871916e-05
1/frame_066265.PNG,0,0,0.99997115,2.8860311e-05
1/frame_066270.PNG,0,0,0.99997133,2.8678463e-05
1/frame_066275.PNG,0,0,0.9999818,1.8154456e-05
1/frame_066280.PNG,0,0,0.99998665,1.3354125e-05
1/frame_066285.PNG,0,0,0.99999,1.0014085e-05
1/frame_066290.PNG,0,0,0.99998915,1.0834037e-05
1/frame_066295.PNG,0,0,0.9999713,2.871089e-05
1/frame_066300.PNG,0,0,0.99998397,1.6010365e-05
1/frame_066305.PNG,0,0,0.9999879,1.2129319e-05
1/frame_066310.PNG,0,0,0.9999894,1.0635489e-05
1/frame_066315.PNG,0,0,0.9999874,1.2603365e-05
1/frame_066320.PNG,0,0,0.9999717,2.8331284e-05
1/frame_066325.PNG,0,0,0.99995637,4.361542e-05
1/frame_066330.PNG,0,0,0.99994826,5.1756397e-05
1/frame_066335.PNG,0,0,0.9999699,3.0091818e-05
1/frame_066340.PNG,0,0,0.9998792,0.00012083973
1/frame_066345.PNG,0,0,0.9997774,0.00022260156
1/frame_066350.PNG,0,0,0.9996121,0.00038788043
1/frame_066355.PNG,0,0,0.99963474,0.00036525176
1/frame_066360.PNG,0,0,0.9999117,8.827758e-05
1/frame_066365.PNG,0,0,0.9999729,2.7119584e-05
1/frame_066370.PNG,0,0,0.99993503,6.498583e-05
